student_id,name,age,gender,standard,enrollment_year,cast_name,financial_background,gaurdian_name,pass_out,affiliation_no
1234,Ileana,10,Trans,9,2009,Sc,BPL,Raimondo,1,388563
1235,Brandise,15,Female,1,2003,St,EWS,Raimondo,0,388762
1236,Millie,11,Female,11,2008,Obc,EWS,Whiffen,0,388544
1237,Pearline,15,Female,12,2011,Obc,EWS,Anestassia,0,388722
1238,Catrina,12,Female,11,2012,General,EWS,Valerio,1,388763
1239,Ninnetta,6,Trans,12,2009,General,BPL,Tamar,1,388736
1240,Gwyneth,14,Male,3,2015,St,EWS,Elephus,1,388590
1241,Mara,19,Male,2,2014,General,BPL,Noelyn,0,388547
1242,Kara-Lynn,5,Trans,5,2002,Obc,EWS,Maroney,0,388630
1243,Deirdre,19,Trans,12,2003,Obc,Non-EWS,Gusella,1,388566
1244,Jacquetta,9,Female,10,2006,St,EWS,Melleta,0,388462
1245,Beverley,17,Trans,8,2005,St,Non-EWS,Calhoun,1,388715
1246,Natka,18,Trans,8,2003,Obc,BPL,Noam,1,388618
1247,Allyce,19,Trans,7,2003,St,BPL,Wesle,1,388706
1248,Nyssa,14,Female,8,2011,Obc,BPL,Lorenz,1,388782
1249,Adriana,5,Trans,5,2012,Sc,Non-EWS,Barrus,0,388472
1250,Ninnetta,20,Male,10,2002,General,BPL,Wiener,1,388590
1251,Luci,7,Female,11,2010,Sc,BPL,Ivens,1,388767
1252,Alameda,12,Trans,1,2003,General,EWS,Meter,1,388491
1253,Andeee,16,Male,7,2012,St,BPL,Holbrook,0,388443
1254,Verla,16,Male,9,2011,St,Non-EWS,Selway,0,388647
1255,Shandie,8,Trans,11,2017,General,Non-EWS,Bollay,1,388641
1256,Mureil,10,Trans,2,2002,Obc,Non-EWS,Fennessy,1,388670
1257,Aigneis,7,Trans,3,2012,Sc,Non-EWS,Howlyn,0,388617
1258,Carmela,19,Trans,4,2003,St,BPL,Justinn,0,388610
1259,Gerrie,14,Male,11,2017,St,Non-EWS,Bebe,0,388603
1260,Gertrud,17,Male,12,2011,St,BPL,Truc,0,388728
1261,Lynnea,16,Trans,4,2002,Sc,BPL,Gale,0,388598
1262,Charissa,19,Trans,7,2002,St,BPL,Modie,1,388594
1263,Vinita,13,Male,12,2006,Obc,BPL,Ahab,0,388693
1264,Edyth,10,Male,4,2005,St,EWS,Taam,0,388585
1265,Ethel,17,Male,10,2005,Obc,Non-EWS,Tamar,1,388773
1266,Barbara,17,Trans,4,2002,Obc,EWS,Rosemary,1,388607
1267,Devina,16,Trans,12,2017,Obc,EWS,Munn,0,388800
1268,Almeta,20,Female,6,2012,Sc,EWS,Heisel,1,388695
1269,Brianna,12,Trans,10,2010,Obc,EWS,Haymes,0,388585
1270,Audrie,8,Female,1,2012,St,BPL,Israeli,1,388793
1271,Britte,4,Trans,2,2003,Sc,BPL,Sikorski,1,388597
1272,Cherilyn,10,Female,12,2016,St,Non-EWS,Kaja,0,388440
1273,Hermione,13,Female,6,2009,Sc,EWS,McAdams,0,388697
1274,Melina,15,Female,9,2006,St,Non-EWS,Justinn,0,388595
1275,Kristina,10,Trans,1,2015,Obc,BPL,Khorma,0,388641
1276,Heida,5,Trans,3,2016,Sc,BPL,Albertine,1,388594
1277,Karina,8,Female,8,2015,General,BPL,Yorick,0,388775
1278,Lucy,17,Female,2,2010,Obc,EWS,Ade,0,388518
1279,Joleen,20,Male,12,2005,St,EWS,Carleen,0,388513
1280,Ileana,5,Male,10,2017,St,EWS,Ethban,0,388717
1281,Elfreda,20,Female,3,2005,General,Non-EWS,Rodmann,1,388483
1282,Dorene,9,Male,12,2015,Obc,EWS,Raseda,1,388472
1283,Sybille,17,Female,10,2006,Obc,Non-EWS,Ellord,0,388730
1284,Hannis,18,Female,5,2004,St,Non-EWS,Magnolia,0,388412
1285,Brooks,20,Male,8,2015,St,Non-EWS,Creamer,0,388680
1286,Florencia,13,Male,8,2011,St,EWS,Clara,0,388721
1287,Clary,20,Trans,11,2005,St,BPL,Weitman,1,388459
1288,Dacia,17,Trans,5,2008,St,BPL,Lilybelle,1,388593
1289,Marita,12,Male,12,2013,St,BPL,Leary,1,388551
1290,Carmela,12,Female,12,2010,St,EWS,Sherrie,0,388625
1291,Georgina,17,Trans,1,2016,St,Non-EWS,Rubie,0,388788
1292,Marnia,13,Trans,6,2004,Obc,BPL,Chesna,1,388732
1293,Jackie,20,Trans,5,2015,General,Non-EWS,Guthrie,1,388638
1294,Marsiella,11,Male,3,2007,St,BPL,Letsou,1,388761
1295,Sissy,18,Female,11,2016,Sc,BPL,Lutero,0,388495
1296,Dode,6,Trans,12,2003,St,EWS,Adrienne,0,388535
1297,Sonni,13,Female,11,2016,St,EWS,Jethro,0,388442
1298,Ricky,14,Male,9,2017,St,Non-EWS,Ade,0,388721
1299,Adore,11,Male,1,2011,Obc,Non-EWS,Susannah,0,388452
1300,Blinni,8,Male,6,2013,St,BPL,Olympium,0,388582
1301,Codie,14,Female,2,2011,Obc,Non-EWS,Telfer,1,388697
1302,Kirbee,7,Male,10,2013,General,EWS,Sallyann,0,388716
1303,Sean,16,Male,4,2002,Sc,BPL,Lorain,0,388547
1304,Ingrid,4,Trans,11,2013,St,EWS,Hilbert,1,388497
1305,Dagmar,13,Female,3,2010,General,BPL,Drisko,0,388524
1306,Lanna,6,Trans,1,2008,Sc,Non-EWS,Sinegold,1,388736
1307,Melisent,4,Male,8,2015,Obc,Non-EWS,Faro,0,388575
1308,Lorne,7,Trans,2,2009,Obc,BPL,Emanuel,1,388485
1309,Dyann,11,Trans,4,2007,Sc,BPL,Woodberry,1,388457
1310,Calla,19,Male,4,2009,St,Non-EWS,Couture,1,388436
1311,Farrah,11,Male,7,2002,St,BPL,Ethban,0,388770
1312,Asia,14,Female,12,2016,St,Non-EWS,Lunsford,0,388481
1313,Sheelagh,19,Trans,1,2015,St,BPL,Stanwood,0,388507
1314,Merrie,14,Female,2,2003,Obc,Non-EWS,Mendez,0,388415
1315,Teddie,11,Female,12,2002,General,Non-EWS,Codding,1,388428
1316,Desirae,4,Trans,12,2006,Obc,BPL,Ephrem,1,388430
1317,Krystle,16,Trans,6,2009,St,EWS,Minetta,0,388558
1318,Priscilla,11,Male,1,2011,St,EWS,Waite,1,388463
1319,Celisse,13,Male,7,2007,Obc,BPL,Thornburg,1,388587
1320,Angela,7,Trans,6,2011,Obc,Non-EWS,Alfons,1,388556
1321,Norine,16,Male,7,2017,Obc,EWS,Colyer,0,388501
1322,Christal,10,Trans,8,2015,Sc,BPL,Hartnett,1,388744
1323,Hallie,16,Male,3,2007,Obc,Non-EWS,Strephon,0,388573
1324,Adriana,15,Female,6,2017,Sc,BPL,Alisia,1,388650
1325,Fina,17,Female,5,2016,General,BPL,Shields,1,388517
1326,Lexine,18,Male,6,2003,General,BPL,Tjon,0,388546
1327,Natka,10,Female,2,2006,Obc,BPL,Levey,0,388656
1328,Janeczka,4,Trans,4,2011,St,Non-EWS,Raseda,1,388639
1329,Alex,6,Trans,3,2008,St,EWS,Stilwell,1,388491
1330,Carolina,6,Female,9,2016,Obc,Non-EWS,Oscar,0,388804
1331,Ivett,10,Male,10,2014,Sc,EWS,Pascia,0,388493
1332,Merci,15,Trans,9,2009,General,EWS,Rubie,1,388722
1333,Allis,15,Male,10,2005,Obc,Non-EWS,Kravits,0,388610
1334,Valeda,16,Female,6,2012,General,Non-EWS,Ricarda,1,388790
1335,Nananne,11,Male,8,2008,St,Non-EWS,Lewes,1,388549
1336,Nollie,18,Male,6,2010,Obc,BPL,Ortrude,1,388524
1337,Bernardine,20,Female,10,2002,General,EWS,Othilia,0,388629
1338,Karolina,10,Female,12,2002,Obc,BPL,Sabella,1,388639
1339,Wilma,11,Male,9,2014,General,Non-EWS,Kesley,1,388757
1340,Linet,11,Female,11,2009,General,EWS,Cosenza,1,388712
1341,Kimberley,8,Trans,8,2004,General,EWS,Kannry,1,388797
1342,Marguerite,11,Female,11,2012,St,BPL,Melleta,0,388672
1343,Dede,5,Trans,6,2007,Obc,EWS,Rugen,1,388614
1344,Clo,16,Female,5,2007,Sc,EWS,Belanger,0,388738
1345,Agnese,19,Trans,8,2008,Obc,EWS,Redmond,0,388528
1346,Ingrid,18,Trans,2,2005,General,Non-EWS,Tjon,0,388649
1347,Joane,14,Male,3,2005,Obc,EWS,Cassius,1,388688
1348,Binny,10,Female,12,2008,St,Non-EWS,Bevin,0,388741
1349,Sean,18,Trans,9,2015,Obc,Non-EWS,Thar,1,388540
1350,Zsa Zsa,8,Trans,6,2008,St,EWS,Berard,0,388673
1351,Gianina,9,Female,10,2016,General,EWS,Jacqui,1,388750
1352,Talya,19,Trans,2,2013,Sc,EWS,Giff,1,388474
1353,Lexine,11,Trans,4,2012,Sc,Non-EWS,Leonard,0,388497
1354,Shauna,18,Female,6,2004,General,EWS,Even,1,388739
1355,Sidoney,11,Male,4,2014,General,Non-EWS,LaRue,1,388802
1356,Lucy,11,Female,3,2004,St,BPL,Anyah,1,388708
1357,Aimil,7,Trans,3,2002,Sc,Non-EWS,Santoro,0,388678
1358,Catrina,11,Trans,7,2016,St,Non-EWS,Center,0,388748
1359,Frank,6,Trans,5,2005,Sc,BPL,Read,0,388595
1360,Tierney,10,Trans,11,2006,St,EWS,Pacorro,0,388466
1361,Sherrie,17,Trans,7,2006,Sc,EWS,Alexandr,0,388474
1362,Dianemarie,10,Male,6,2006,General,EWS,Hull,0,388467
1363,Gaylene,16,Trans,2,2013,General,BPL,Arne,0,388537
1364,Rosaline,15,Trans,9,2015,General,Non-EWS,Hurley,1,388634
1365,Mary,14,Trans,4,2013,St,EWS,Ashok,0,388435
1366,Frank,18,Male,4,2013,Obc,Non-EWS,Carolin,0,388465
1367,Kary,12,Female,5,2013,Obc,EWS,Bandeen,0,388538
1368,Aili,16,Male,12,2006,Obc,Non-EWS,Lane,0,388807
1369,Rivalee,14,Female,9,2013,General,EWS,Stover,0,388771
1370,Angela,20,Trans,9,2017,Obc,Non-EWS,Winthorpe,1,388650
1371,Meriel,18,Male,5,2017,General,Non-EWS,Ludewig,0,388657
1372,Leona,6,Trans,4,2006,St,BPL,Myrilla,0,388450
1373,Shaylyn,9,Male,2,2015,Sc,Non-EWS,Connelly,0,388708
1374,Sheelagh,15,Male,3,2016,Obc,Non-EWS,Hylan,1,388754
1375,Jackie,10,Female,3,2010,Sc,BPL,Madaih,0,388473
1376,Jenda,10,Male,5,2010,Sc,EWS,Kiyoshi,0,388512
1377,Nonnah,19,Male,10,2003,Obc,EWS,Raffo,0,388557
1378,Justinn,8,Trans,7,2009,St,EWS,Stuart,0,388744
1379,Ottilie,16,Trans,12,2008,Sc,BPL,Kirbee,0,388714
1380,Nickie,8,Female,11,2009,St,BPL,Konyn,1,388725
1381,Raina,18,Male,2,2007,General,Non-EWS,Voletta,0,388643
1382,Oralee,5,Trans,12,2011,General,EWS,Nadia,1,388695
1383,Candy,12,Trans,10,2006,General,BPL,Alva,1,388606
1384,Wynne,13,Male,7,2011,General,BPL,Neils,0,388461
1385,Dyann,18,Male,4,2003,General,Non-EWS,O'Neill,1,388676
1386,Estell,20,Female,10,2004,Sc,BPL,Woodberry,1,388411
1387,Lisette,4,Male,1,2005,Sc,EWS,Kauppi,0,388458
1388,Elise,18,Male,1,2006,Obc,BPL,McLaughlin,0,388686
1389,Ginnie,8,Male,10,2009,Sc,EWS,Tayib,1,388557
1390,Brena,20,Trans,10,2005,General,EWS,Jary,1,388472
1391,Halette,8,Male,7,2006,St,EWS,Ciro,1,388722
1392,Dode,8,Male,9,2014,Obc,Non-EWS,O'Carroll,1,388513
1393,Damaris,20,Male,12,2005,General,EWS,Denis,0,388772
1394,Delilah,8,Trans,7,2016,Sc,EWS,Lindemann,0,388412
1395,Jordan,20,Male,10,2009,Obc,BPL,Garbe,0,388679
1396,Dari,12,Female,1,2005,St,Non-EWS,Ummersen,0,388457
1397,Juliane,9,Female,4,2005,General,BPL,Margret,1,388507
1398,Corene,9,Female,5,2004,Sc,Non-EWS,Casimir,0,388610
1399,Vonny,20,Male,10,2003,St,EWS,Palocz,1,388599
1400,Kamilah,12,Female,7,2003,General,BPL,Frendel,0,388791
1401,Leontine,14,Trans,3,2015,St,BPL,Zuzana,0,388656
1402,Lolita,5,Female,2,2017,St,EWS,Sacken,1,388660
1403,Fred,12,Female,9,2015,Obc,EWS,Johnsson,0,388546
1404,Chere,12,Trans,12,2012,St,Non-EWS,Engdahl,0,388419
1405,Alia,10,Trans,2,2006,St,EWS,Abbot,0,388770
1406,Joy,9,Trans,4,2012,Obc,Non-EWS,Klotz,1,388749
1407,Stacey,6,Female,5,2009,St,BPL,Ochs,1,388577
1408,Lanae,17,Trans,8,2010,Sc,BPL,Harned,1,388495
1409,Raina,6,Male,3,2010,Obc,EWS,Fink,0,388724
1410,Brandise,9,Female,8,2016,St,EWS,Alice,1,388538
1411,Dorthy,15,Male,11,2002,St,BPL,Aida,0,388798
1412,Bill,20,Female,5,2014,Obc,Non-EWS,Nisbet,1,388786
1413,Adore,4,Trans,2,2014,General,Non-EWS,Soneson,0,388609
1414,Therine,18,Female,9,2011,St,EWS,Lanita,1,388654
1415,Frank,18,Female,6,2003,Sc,BPL,Jerald,0,388489
1416,Dolli,8,Male,1,2011,St,BPL,Idelia,0,388682
1417,Cyb,11,Trans,3,2015,St,Non-EWS,Schwejda,0,388791
1418,Elmira,16,Male,5,2006,St,BPL,Olnee,0,388635
1419,Rosene,16,Female,1,2015,Sc,EWS,Sharl,1,388734
1420,Nananne,19,Female,12,2010,Sc,EWS,Garrison,1,388502
1421,Lynea,13,Male,3,2009,St,EWS,Serilda,0,388531
1422,Jordan,11,Trans,11,2015,General,EWS,Allina,0,388757
1423,Jorry,7,Trans,9,2013,General,Non-EWS,Pozzy,1,388411
1424,Paulita,9,Male,9,2010,Obc,Non-EWS,Bord,1,388727
1425,Rayna,7,Trans,1,2006,Obc,EWS,Holtz,0,388543
1426,Marleah,12,Male,5,2003,General,Non-EWS,Hewitt,1,388618
1427,Nickie,18,Female,7,2014,St,BPL,Desai,1,388757
1428,Maryellen,16,Male,4,2011,St,EWS,Zachary,1,388625
1429,Frank,5,Female,5,2017,Obc,EWS,Martguerita,0,388560
1430,Codie,12,Female,10,2015,Obc,EWS,Leffen,0,388467
1431,Cristabel,18,Trans,5,2010,Obc,Non-EWS,Pierette,0,388487
1432,Nessie,9,Female,5,2003,Sc,Non-EWS,Schlosser,1,388763
1433,Brandise,6,Trans,12,2017,General,BPL,Goode,0,388640
1434,Susan,18,Trans,12,2017,Obc,BPL,Irmine,1,388544
1435,Helena,10,Trans,7,2004,St,EWS,Vary,1,388554
1436,Janeczka,14,Female,6,2007,General,Non-EWS,Hoenack,0,388625
1437,Georgetta,11,Female,3,2017,Obc,BPL,Rosalba,1,388558
1438,Georgina,18,Female,10,2003,Sc,EWS,Valerio,1,388624
1439,Moyna,14,Male,10,2003,Sc,BPL,Sandye,1,388557
1440,Molli,4,Female,4,2011,General,EWS,Buckler,0,388612
1441,Babita,5,Male,8,2005,Sc,EWS,Old,1,388511
1442,Frank,13,Male,11,2016,St,BPL,Alfons,0,388733
1443,Dyann,8,Male,11,2005,General,BPL,Marijo,1,388584
1444,Gianina,14,Trans,2,2015,General,Non-EWS,Posner,0,388762
1445,Madalyn,7,Female,8,2011,General,Non-EWS,Heidt,0,388789
1446,Karena,11,Female,9,2015,General,BPL,Maryanne,1,388426
1447,Corly,17,Female,1,2011,St,BPL,Jefferey,1,388481
1448,Mathilda,13,Male,1,2013,General,BPL,Voletta,0,388753
1449,Mamie,16,Trans,5,2017,St,EWS,Boycey,0,388592
1450,Lanna,6,Trans,2,2012,St,Non-EWS,McClimans,0,388800
1451,Vinita,11,Male,9,2004,Sc,Non-EWS,Dorothy,1,388599
1452,Ursulina,11,Female,9,2008,St,Non-EWS,Brieta,1,388653
1453,Gloria,10,Female,4,2003,Obc,EWS,Caitlin,0,388802
1454,Christy,15,Trans,9,2004,Obc,BPL,Argus,0,388736
1455,Doro,10,Male,6,2013,St,BPL,Kevon,1,388545
1456,Lorne,17,Trans,10,2009,Obc,Non-EWS,Sundin,0,388449
1457,Christy,4,Female,8,2014,Obc,Non-EWS,Dermott,1,388583
1458,Leia,20,Male,2,2002,St,EWS,Raama,1,388729
1459,June,20,Female,9,2009,General,EWS,Rheingold,1,388490
1460,Bee,14,Trans,7,2014,Sc,EWS,Alfons,1,388446
1461,Amelia,6,Male,8,2005,St,EWS,Shuler,0,388778
1462,Rhoda,14,Female,6,2016,Obc,EWS,Mozelle,1,388743
1463,Therine,18,Trans,7,2005,Sc,BPL,Aldric,0,388785
1464,Aigneis,12,Trans,1,2012,St,EWS,Alejoa,0,388512
1465,Sara-Ann,13,Trans,4,2006,Sc,Non-EWS,Saunderson,1,388492
1466,Margalo,12,Trans,4,2003,Obc,EWS,Sheedy,0,388525
1467,Winifred,12,Female,4,2006,Sc,BPL,Erskine,0,388688
1468,Valera,15,Trans,12,2017,Obc,EWS,Liebermann,0,388727
1469,Jinny,15,Male,9,2010,General,Non-EWS,Kravits,0,388468
1470,Alyssa,16,Female,7,2010,Sc,EWS,Francyne,1,388598
1471,Ekaterina,13,Female,8,2017,Sc,EWS,Dahlia,1,388648
1472,Lynea,10,Male,3,2012,General,BPL,Isacco,1,388544
1473,Dorice,13,Trans,4,2008,Sc,Non-EWS,Jefferey,1,388698
1474,Wendi,20,Male,1,2017,Sc,EWS,Ferrell,1,388647
1475,Karolina,8,Female,10,2008,St,EWS,Braun,1,388420
1476,Flo,17,Male,12,2002,St,EWS,Fulmer,1,388799
1477,Cyndie,12,Male,4,2012,Obc,EWS,Presber,0,388636
1478,Cherilyn,13,Female,8,2017,Obc,Non-EWS,Gale,0,388782
1479,Deane,14,Male,2,2003,St,EWS,Peonir,0,388687
1480,Antonietta,14,Trans,8,2003,St,EWS,Linehan,0,388524
1481,Lorne,7,Female,2,2016,St,EWS,Carbo,1,388511
1482,Leia,14,Male,6,2011,Sc,Non-EWS,Burch,0,388475
1483,Cristabel,12,Female,8,2010,Sc,EWS,Chaing,1,388434
1484,Linet,11,Male,6,2006,St,EWS,Knowling,0,388757
1485,Margette,14,Female,9,2015,Obc,BPL,Cohdwell,1,388661
1486,Phylis,17,Male,8,2017,General,BPL,Blase,0,388474
1487,Yvonne,19,Trans,12,2011,General,Non-EWS,Peg,0,388634
1488,Gloria,6,Trans,12,2008,Sc,Non-EWS,Dowski,1,388417
1489,Ileana,11,Female,7,2003,General,EWS,Hanleigh,1,388678
1490,Britte,15,Male,5,2015,Obc,EWS,Huggins,1,388754
1491,Jobi,14,Male,3,2008,General,BPL,Yusuk,0,388525
1492,Odessa,11,Trans,10,2004,Sc,Non-EWS,Brady,1,388553
1493,Emylee,9,Female,1,2007,General,Non-EWS,Baylor,0,388485
1494,Jerry,7,Female,10,2007,Obc,Non-EWS,Phi,1,388775
1495,Christal,5,Trans,7,2017,St,EWS,Lia,0,388473
1496,Camile,5,Trans,7,2008,Obc,EWS,Cleavland,0,388754
1497,Marnia,7,Female,2,2012,Obc,EWS,Junie,0,388617
1498,Anallese,8,Female,7,2012,Sc,BPL,Kristi,1,388760
1499,Emilia,18,Trans,5,2011,Sc,BPL,Dearborn,1,388562
1500,Paola,12,Female,11,2006,General,Non-EWS,Esmaria,0,388692
1501,Sherrie,10,Trans,9,2002,Obc,Non-EWS,Vittoria,1,388473
1502,Goldie,17,Trans,2,2002,Sc,Non-EWS,Suanne,1,388481
1503,Giustina,13,Female,10,2015,Obc,BPL,Amasa,1,388729
1504,Mariann,12,Female,3,2016,Sc,Non-EWS,Karl,0,388644
1505,Ida,18,Trans,12,2004,General,BPL,Raffo,1,388687
1506,Romona,13,Female,6,2010,St,Non-EWS,Urania,1,388416
1507,Halette,6,Trans,2,2015,Sc,Non-EWS,Sisile,1,388486
1508,Madelle,14,Trans,9,2011,Obc,BPL,Simmonds,0,388492
1509,Zondra,5,Female,5,2008,Obc,EWS,Presber,0,388588
1510,Daphne,15,Female,6,2003,St,EWS,Infield,1,388435
1511,Lizzie,6,Female,8,2010,Obc,BPL,Whittaker,0,388717
1512,Merci,9,Female,1,2017,General,Non-EWS,Cleavland,1,388479
1513,Amelia,7,Male,3,2007,Sc,Non-EWS,Fabiola,0,388737
1514,Ileana,10,Male,8,2010,Obc,Non-EWS,Jerold,0,388647
1515,Nariko,5,Female,8,2013,Sc,BPL,Noelyn,0,388656
1516,Paulita,4,Trans,5,2006,General,BPL,Loleta,0,388546
1517,Gwyneth,18,Female,9,2006,General,BPL,Eugenia,1,388465
1518,Meriel,13,Female,10,2007,Sc,Non-EWS,Pitt,1,388701
1519,Elyssa,15,Female,11,2011,Sc,BPL,Kristi,1,388550
1520,Anestassia,17,Trans,2,2010,St,Non-EWS,Anestassia,0,388538
1521,Vita,9,Female,6,2009,St,EWS,Shaver,1,388417
1522,Marika,6,Male,7,2010,Obc,Non-EWS,Ajay,1,388714
1523,Madeleine,15,Trans,12,2010,St,Non-EWS,Ietta,0,388742
1524,Tabbatha,15,Trans,9,2002,Sc,EWS,Uird,1,388451
1525,Goldie,19,Male,10,2006,Sc,BPL,Taam,1,388539
1526,Karolina,20,Female,4,2006,Obc,Non-EWS,Pierette,0,388717
1527,Juliane,5,Male,12,2013,Sc,BPL,Tufts,0,388434
1528,Pamella,14,Trans,5,2007,St,EWS,Ahab,1,388740
1529,Celene,4,Male,6,2009,General,BPL,Delila,1,388782
1530,Chickie,16,Female,2,2003,Obc,EWS,Couture,0,388431
1531,Jasmina,7,Male,12,2010,Sc,Non-EWS,Kazimir,0,388642
1532,June,19,Male,6,2004,Sc,BPL,Marisa,0,388734
1533,Christy,6,Female,12,2016,Obc,Non-EWS,Henebry,1,388696
1534,Laurene,9,Male,10,2017,Sc,EWS,Maples,1,388726
1535,Harmonia,13,Trans,5,2009,St,EWS,Ardra,0,388626
1536,Letizia,15,Male,4,2015,Sc,Non-EWS,Hessler,1,388417
1537,Diena,18,Trans,8,2013,Sc,EWS,Rad,0,388788
1538,Brianna,17,Male,7,2014,St,BPL,Claudine,0,388642
1539,Melanie,15,Female,7,2002,St,EWS,Chick,1,388623
1540,Fernande,4,Trans,9,2016,General,BPL,Teddman,0,388547
1541,Giustina,18,Trans,12,2005,Sc,BPL,Zrike,0,388652
1542,Sybille,9,Female,12,2016,St,EWS,Velick,1,388698
1543,Pierette,17,Female,6,2013,Obc,Non-EWS,Esmaria,0,388686
1544,Fidelia,6,Female,6,2016,Obc,EWS,Rubie,1,388613
1545,Sue,9,Female,2,2009,St,EWS,Belanger,0,388550
1546,Merrie,8,Trans,5,2010,Sc,BPL,Salvidor,0,388804
1547,Cordi,19,Trans,3,2012,Obc,EWS,Dichy,1,388711
1548,Genovera,9,Female,4,2007,Sc,EWS,Mata,0,388532
1549,Shannah,4,Trans,9,2009,Sc,Non-EWS,Kendrick,0,388410
1550,Selia,4,Female,6,2017,St,EWS,Lory,0,388595
1551,Alleen,5,Trans,10,2016,Obc,BPL,Dimitris,0,388447
1552,Calla,14,Female,10,2014,Sc,EWS,Suanne,0,388475
1553,Mathilda,19,Female,6,2017,Sc,BPL,Beebe,0,388582
1554,Beverley,17,Female,11,2005,General,EWS,Llovera,0,388542
1555,Frank,9,Trans,2,2002,St,BPL,Dichy,0,388500
1556,Clary,6,Female,1,2016,Sc,Non-EWS,Amadas,0,388652
1557,Clo,20,Male,1,2007,St,BPL,Swigart,1,388733
1558,Kelly,11,Female,6,2005,St,Non-EWS,Ophelia,1,388446
1559,Selma,13,Female,8,2016,St,BPL,Rillings,1,388756
1560,Lory,8,Female,12,2008,General,BPL,Demitria,1,388642
1561,Marika,17,Trans,12,2010,Obc,BPL,Whiffen,1,388513
1562,Wilma,16,Male,8,2014,Obc,Non-EWS,Stelle,0,388494
1563,Andeee,15,Female,7,2010,General,BPL,Tippets,1,388726
1564,Deedee,4,Trans,11,2014,Obc,Non-EWS,Roscoe,1,388808
1565,Rosene,20,Male,9,2008,St,EWS,Nance,0,388504
1566,Albertina,19,Female,1,2009,Sc,Non-EWS,Stav,1,388761
1567,Ingrid,10,Male,12,2014,Obc,Non-EWS,Larochelle,1,388619
1568,Ann-Marie,19,Female,5,2007,Obc,Non-EWS,Sasnett,0,388791
1569,Corina,4,Male,3,2008,General,EWS,Japeth,1,388610
1570,Almeta,15,Trans,10,2010,General,EWS,Leifeste,0,388505
1571,Alex,15,Male,6,2008,St,EWS,Ethban,0,388500
1572,Renae,6,Trans,11,2012,Sc,EWS,Cosenza,0,388607
1573,Helsa,16,Male,10,2013,General,EWS,Waite,0,388800
1574,Angela,10,Female,7,2016,Sc,Non-EWS,Japeth,0,388547
1575,Hildegaard,4,Trans,1,2017,General,Non-EWS,Eldrid,0,388764
1576,Amelia,5,Female,8,2015,Sc,EWS,Evvie,1,388641
1577,Georgina,17,Male,10,2008,General,BPL,Artie,1,388611
1578,Ketti,17,Female,1,2007,Obc,Non-EWS,Neils,1,388693
1579,Violet,10,Female,9,2014,St,Non-EWS,Junie,0,388533
1580,Miquela,17,Female,1,2017,Obc,EWS,Ellord,1,388701
1581,Miquela,17,Male,4,2010,Sc,EWS,Pattin,1,388771
1582,Reeba,13,Male,7,2013,Obc,EWS,Darian,0,388509
1583,Marcelline,17,Trans,4,2002,St,BPL,Prober,0,388605
1584,Suzette,11,Female,2,2017,General,BPL,Esmaria,1,388538
1585,Netty,19,Female,1,2008,Sc,Non-EWS,Agle,0,388656
1586,Andeee,10,Trans,1,2008,St,EWS,Faro,1,388670
1587,Dyann,15,Female,5,2011,Sc,BPL,Margarete,1,388499
1588,Daphne,12,Trans,10,2009,Obc,EWS,Valerio,0,388808
1589,Tami,10,Female,8,2003,General,EWS,Dudley,0,388524
1590,Etta,10,Trans,2,2008,Obc,BPL,Vale,1,388690
1591,Nickie,9,Male,8,2011,Obc,EWS,Linehan,1,388673
1592,Letizia,16,Male,2,2004,Obc,Non-EWS,Amethist,1,388424
1593,Gui,16,Male,9,2006,Sc,Non-EWS,Weitman,1,388765
1594,Elsie,15,Female,12,2017,Sc,Non-EWS,Anastatius,0,388655
1595,Anthia,12,Female,10,2009,Sc,EWS,Raffo,1,388677
1596,Kirstin,17,Male,1,2008,General,EWS,Lamoree,1,388728
1597,Ermengarde,14,Trans,5,2009,General,EWS,Pandolfi,1,388685
1598,Kate,7,Female,2,2002,General,BPL,Euridice,1,388782
1599,Elie,8,Male,9,2002,Obc,Non-EWS,Nadia,0,388691
1600,Frieda,12,Female,8,2012,General,BPL,Moina,1,388640
1601,Carolina,13,Male,9,2015,Obc,BPL,Silvan,1,388773
1602,Kary,6,Trans,8,2008,Sc,EWS,Amadas,0,388687
1603,Carmencita,7,Trans,12,2004,St,BPL,Cullin,0,388557
1604,Maryellen,6,Trans,10,2007,St,BPL,Hutchison,1,388627
1605,Jeanna,11,Trans,5,2004,St,EWS,Blisse,1,388627
1606,Madelle,14,Male,12,2014,St,Non-EWS,Kaete,1,388467
1607,Yetty,15,Trans,8,2014,General,BPL,Rubie,0,388721
1608,Etta,18,Female,11,2008,Sc,BPL,Weaks,0,388683
1609,Gusty,20,Male,12,2006,General,BPL,Laverne,0,388566
