teacher_id,name,gender,affiliation_no
3884009,Ariela,Male,388730
3884010,Marleah,Male,388743
3884011,Florencia,Trans,388807
3884012,Alyssa,Trans,388679
3884013,Wilma,Female,388729
3884014,Dania,Male,388560
3884015,Roslyn,Female,388563
3884016,Justinn,Male,388421
3884017,Babita,Female,388749
3884018,Cyb,Female,388509
3884019,Robbi,Male,388513
3884020,Drucie,Trans,388745
3884021,Drucie,Female,388416
3884022,Katharina,Female,388576
3884023,Willetta,Female,388806
3884024,Alie,Trans,388440
3884025,Chrystel,Trans,388556
3884026,Hildegaard,Female,388629
3884027,Gertrud,Male,388485
3884028,Edee,Male,388671
3884029,Oralee,Male,388669
3884030,Sherrie,Female,388586
3884031,Letizia,Trans,388594
3884032,Sophia,Female,388642
3884033,Paulita,Female,388553
3884034,Keelia,Male,388555
3884035,Elise,Male,388634
3884036,Ira,Trans,388598
3884037,Tierney,Male,388595
3884038,Alameda,Male,388722
3884039,Daphne,Trans,388564
3884040,Cathyleen,Trans,388600
3884041,Augustine,Trans,388539
3884042,Nessie,Female,388673
3884043,Belinda,Trans,388415
3884044,Ethel,Male,388437
3884045,Coral,Female,388410
3884046,Brena,Male,388649
3884047,Elie,Female,388553
3884048,Larine,Trans,388674
3884049,Cassandra,Female,388702
3884050,Ada,Female,388569
3884051,Florencia,Female,388550
3884052,Tilly,Trans,388510
3884053,Christy,Male,388778
3884054,Kirstin,Female,388706
3884055,Roslyn,Trans,388431
3884056,Kayla,Trans,388565
3884057,Sherrie,Female,388644
3884058,Gerianna,Male,388413
3884059,Donnie,Trans,388611
3884060,Vonny,Male,388670
3884061,Coral,Female,388590
3884062,Olivette,Male,388782
3884063,Abbie,Trans,388611
3884064,Joelly,Male,388493
3884065,Fayre,Trans,388431
3884066,Romona,Trans,388513
3884067,Sara-Ann,Trans,388440
3884068,Paule,Male,388456
3884069,Nessie,Trans,388421
3884070,Fanny,Male,388804
3884071,Belva,Female,388545
3884072,Kittie,Trans,388429
3884073,Nonnah,Female,388778
3884074,Sissy,Trans,388652
3884075,Angela,Trans,388681
3884076,Jessy,Male,388789
3884077,Viviene,Trans,388791
3884078,Frances,Trans,388488
3884079,Cordi,Trans,388693
3884080,Catrina,Male,388574
3884081,Therine,Female,388427
3884082,Dagmar,Trans,388607
3884083,Janenna,Male,388524
3884084,Caryl,Female,388752
3884085,Constance,Female,388557
3884086,Sadie,Trans,388663
3884087,Carmela,Trans,388618
3884088,Lusa,Trans,388631
3884089,Daryl,Female,388540
3884090,Clary,Trans,388605
3884091,Antonietta,Female,388526
3884092,Wynne,Female,388780
3884093,Starla,Trans,388608
3884094,Trixi,Male,388601
3884095,Gwyneth,Male,388461
3884096,Dale,Female,388481
3884097,Hermione,Female,388459
3884098,Antonietta,Female,388756
3884099,Di,Trans,388507
3884100,Cissiee,Male,388439
3884101,Felice,Female,388510
3884102,Pollyanna,Male,388465
3884103,Willetta,Trans,388566
3884104,Christian,Trans,388625
3884105,Alia,Female,388570
3884106,Dorene,Trans,388583
3884107,Iseabal,Male,388682
3884108,Merrie,Trans,388500
3884109,Alyssa,Female,388760
3884110,Ursulina,Trans,388765
3884111,Mariele,Male,388582
3884112,Zsa Zsa,Male,388452
3884113,Feliza,Male,388610
3884114,Perry,Female,388771
3884115,Jillayne,Male,388755
3884116,Trudie,Female,388578
3884117,Aaren,Trans,388628
3884118,Belva,Trans,388775
3884119,Allis,Male,388512
3884120,Jere,Male,388743
3884121,Pearline,Trans,388708
3884122,Lindie,Trans,388592
3884123,Johna,Female,388790
3884124,Vita,Female,388581
3884125,Fina,Female,388655
3884126,Gaylene,Male,388436
3884127,Catharine,Male,388764
3884128,Valera,Male,388542
3884129,Clarice,Male,388729
3884130,Lonnie,Trans,388552
3884131,Norine,Trans,388602
3884132,Lorenza,Female,388771
3884133,Dorthy,Male,388525
3884134,Desirae,Male,388540
3884135,Rozele,Male,388749
3884136,Clementine,Trans,388502
3884137,Kate,Male,388596
3884138,Gabriellia,Trans,388593
3884139,Paulita,Male,388437
3884140,Evaleen,Male,388591
3884141,Brianna,Male,388736
3884142,Nariko,Trans,388672
3884143,Lorne,Trans,388580
3884144,Dania,Female,388433
3884145,Tina,Male,388782
3884146,Ann-Marie,Trans,388449
3884147,Britni,Female,388660
3884148,Yolane,Trans,388541
3884149,Blake,Trans,388642
3884150,Gerrie,Male,388616
3884151,Gloria,Male,388466
3884152,Renie,Trans,388459
3884153,Carolina,Male,388476
3884154,Lacie,Trans,388426
3884155,Alleen,Trans,388620
3884156,Cherrita,Female,388682
3884157,Merry,Female,388502
3884158,Lilith,Trans,388676
3884159,Marjie,Male,388672
3884160,Nerta,Female,388590
3884161,Marti,Male,388568
3884162,Di,Trans,388455
3884163,Nikki,Trans,388582
3884164,Marti,Trans,388519
3884165,Maurene,Female,388522
3884166,Janey,Female,388520
3884167,Marcelline,Trans,388556
3884168,Blondelle,Female,388414
3884169,Gerrie,Female,388749
3884170,Valeda,Female,388469
3884171,Tressa,Female,388572
3884172,Hollie,Male,388566
3884173,Peri,Male,388437
3884174,Willetta,Female,388522
3884175,Paulita,Trans,388710
3884176,Jolyn,Female,388486
3884177,Marcy,Female,388804
3884178,Gilda,Male,388454
3884179,Glenda,Trans,388463
3884180,Tiffie,Trans,388441
3884181,Misha,Trans,388612
3884182,Tersina,Trans,388604
3884183,Netty,Male,388762
3884184,Maurene,Male,388708
3884185,Emma,Trans,388727
3884186,Corene,Trans,388726
3884187,Robbi,Female,388775
3884188,Myrtice,Trans,388565
3884189,Stephanie,Male,388724
3884190,Morganica,Trans,388516
3884191,Britni,Female,388622
3884192,Annecorinne,Male,388612
3884193,Esmeralda,Trans,388488
3884194,Ruthe,Trans,388596
3884195,Joleen,Trans,388429
3884196,Libbie,Male,388493
3884197,Zsa Zsa,Trans,388709
3884198,Karena,Male,388482
3884199,Corry,Female,388571
3884200,Abbie,Trans,388554
3884201,Phylis,Trans,388731
